Interval,,Transfer,,Bitrate,,Jitter,,Lost/Total Datagrams,
0.00-1.00,sec,2.59,MBytes,21.7,Mbits/sec,0.751,ms,0/1872,0%
1.00-2.00,sec,2.62,MBytes,22,Mbits/sec,0.49,ms,0/1895,0%
2.00-3.00,sec,2.65,MBytes,22.2,Mbits/sec,0.287,ms,0/1920,0%
3.00-4.00,sec,2.62,MBytes,22,Mbits/sec,0.362,ms,0/1899,0%
4.00-5.00,sec,2.6,MBytes,21.8,Mbits/sec,0.536,ms,0/1883,0%
5.00-6.00,sec,2.64,MBytes,22.2,Mbits/sec,0.183,ms,0/1914,0%
6.00-7.00,sec,2.63,MBytes,22,Mbits/sec,0.163,ms,0/1901,0%
7.00-8.00,sec,2.61,MBytes,21.9,Mbits/sec,0.633,ms,0/1891,0%
8.00-9.00,sec,2.63,MBytes,22.1,Mbits/sec,0.275,ms,0/1907,0%
9.00-10.00,sec,2.62,MBytes,22,Mbits/sec,0.184,ms,0/1899,0%
10.00-11.00,sec,2.55,MBytes,21.4,Mbits/sec,0.499,ms,0/1849,0%
11.00-12.00,sec,2.68,MBytes,22.5,Mbits/sec,0.364,ms,0/1942,0%
12.00-13.00,sec,2.63,MBytes,22.1,Mbits/sec,0.282,ms,0/1904,0%
13.00-14.00,sec,2.63,MBytes,22,Mbits/sec,0.363,ms,0/1901,0%
14.00-15.00,sec,2.62,MBytes,22,Mbits/sec,0.367,ms,0/1900,0%
15.00-16.00,sec,2.62,MBytes,21.9,Mbits/sec,0.57,ms,0/1896,0%
16.00-17.00,sec,2.61,MBytes,21.9,Mbits/sec,0.485,ms,0/1891,0%
17.00-18.00,sec,2.62,MBytes,21.9,Mbits/sec,0.748,ms,0/1894,0%
18.00-19.00,sec,2.65,MBytes,22.2,Mbits/sec,0.228,ms,0/1916,0%
19.00-20.00,sec,2.56,MBytes,21.5,Mbits/sec,1.342,ms,0/1853,0%
20.00-21.00,sec,2.68,MBytes,22.5,Mbits/sec,0.681,ms,0/1939,0%
21.00-22.00,sec,2.63,MBytes,22.1,Mbits/sec,0.513,ms,0/1904,0%
22.00-23.00,sec,2.62,MBytes,22,Mbits/sec,0.464,ms,0/1896,0%
23.00-24.00,sec,2.61,MBytes,21.9,Mbits/sec,0.573,ms,0/1892,0%
24.00-25.00,sec,2.64,MBytes,22.1,Mbits/sec,0.162,ms,0/1911,0%
25.00-26.00,sec,2.62,MBytes,21.9,Mbits/sec,0.498,ms,0/1894,0%
26.00-27.00,sec,2.62,MBytes,22,Mbits/sec,0.308,ms,0/1899,0%
27.00-28.00,sec,2.63,MBytes,22,Mbits/sec,0.409,ms,0/1902,0%
28.00-29.00,sec,2.58,MBytes,21.7,Mbits/sec,0.6,ms,0/1869,0%
