Interval,,Transfer,,Bitrate,,Jitter,,Lost/Total Datagrams,
0.00-1.00,sec,1.18,MBytes,9.93,Mbits/sec,0.566,ms,0/857,0%
1.00-2.00,sec,1.18,MBytes,9.87,Mbits/sec,1.02,ms,0/852,0%
2.00-3.00,sec,1.21,MBytes,10.1,Mbits/sec,0.817,ms,0/874,0%
3.00-4.00,sec,1.19,MBytes,9.99,Mbits/sec,0.761,ms,0/862,0%
4.00-5.00,sec,1.19,MBytes,10,Mbits/sec,0.309,ms,0/865,0%
5.00-6.00,sec,1.18,MBytes,9.94,Mbits/sec,1.144,ms,0/858,0%
6.00-7.00,sec,1.2,MBytes,10.1,Mbits/sec,0.727,ms,0/868,0%
7.00-8.00,sec,1.19,MBytes,10,Mbits/sec,1.042,ms,0/864,0%
8.00-9.00,sec,1.19,MBytes,9.99,Mbits/sec,0.528,ms,0/862,0%
9.00-10.00,sec,1.19,MBytes,10,Mbits/sec,0.659,ms,0/863,0%
10.00-11.00,sec,1.19,MBytes,10,Mbits/sec,0.424,ms,0/864,0%
11.00-12.00,sec,1.19,MBytes,10,Mbits/sec,0.764,ms,0/864,0%
12.00-13.00,sec,1.19,MBytes,10,Mbits/sec,0.817,ms,0/863,0%
13.00-14.00,sec,1.19,MBytes,9.99,Mbits/sec,0.471,ms,0/862,0%
14.00-15.00,sec,1.18,MBytes,9.94,Mbits/sec,1.255,ms,0/858,0%
15.00-16.00,sec,1.2,MBytes,10.1,Mbits/sec,0.634,ms,0/869,0%
16.00-17.00,sec,1.19,MBytes,10,Mbits/sec,0.942,ms,0/864,0%
17.00-18.00,sec,1.18,MBytes,9.89,Mbits/sec,1.245,ms,0/854,0%
18.00-19.00,sec,1.21,MBytes,10.1,Mbits/sec,0.481,ms,0/873,0%
19.00-20.00,sec,1.19,MBytes,9.99,Mbits/sec,0.438,ms,0/862,0%
20.00-21.00,sec,1.19,MBytes,10,Mbits/sec,1.037,ms,0/864,0%
21.00-22.00,sec,1.19,MBytes,10,Mbits/sec,0.929,ms,0/863,0%
22.00-23.00,sec,1.19,MBytes,10,Mbits/sec,0.576,ms,0/863,0%
23.00-24.00,sec,1.19,MBytes,10,Mbits/sec,0.328,ms,0/863,0%
