Interval,,Transfer,,Bitrate,,Jitter,,Lost/Total Datagrams,
0.00-1.00,sec,2.98,MBytes,25,Mbits/sec,0.601,ms,0/2159,0%
1.00-2.00,sec,3.56,MBytes,29.8,Mbits/sec,0.541,ms,0/2575,0%
2.00-3.00,sec,3.66,MBytes,30.7,Mbits/sec,0.622,ms,0/2650,0%
3.00-4.00,sec,3.63,MBytes,30.4,Mbits/sec,0.66,ms,0/2628,0%
4.00-5.00,sec,3.55,MBytes,29.8,Mbits/sec,0.707,ms,0/2571,0%
5.00-6.00,sec,3.51,MBytes,29.4,Mbits/sec,0.512,ms,0/2541,0%
6.00-7.01,sec,3.3,MBytes,27.5,Mbits/sec,1.328,ms,0/2389,0%
7.01-8.00,sec,3.06,MBytes,25.8,Mbits/sec,0.519,ms,0/2213,0%
8.00-9.00,sec,3.13,MBytes,26.3,Mbits/sec,0.647,ms,0/2267,0%
9.00-10.00,sec,3.49,MBytes,29.3,Mbits/sec,0.54,ms,0/2527,0%
10.00-11.00,sec,3.61,MBytes,30.3,Mbits/sec,0.56,ms,0/2616,0%
11.00-12.00,sec,3.07,MBytes,25.7,Mbits/sec,0.876,ms,0/2221,0%
12.00-13.00,sec,3.65,MBytes,30.7,Mbits/sec,0.744,ms,0/2646,0%
13.00-14.00,sec,3.37,MBytes,28.3,Mbits/sec,0.834,ms,0/2442,0%
14.00-15.00,sec,3.7,MBytes,31,Mbits/sec,0.722,ms,0/2678,0%
15.00-16.00,sec,3.26,MBytes,27.4,Mbits/sec,1.036,ms,0/2362,0%
16.00-17.00,sec,3.57,MBytes,30,Mbits/sec,0.528,ms,0/2586,0%
17.00-18.00,sec,3.56,MBytes,29.9,Mbits/sec,0.529,ms,0/2577,0%
18.00-19.00,sec,3.23,MBytes,27.1,Mbits/sec,0.527,ms,0/2340,0%
19.00-20.00,sec,3.31,MBytes,27.8,Mbits/sec,1.44,ms,0/2398,0%
20.00-21.00,sec,3.63,MBytes,30.5,Mbits/sec,0.548,ms,0/2630,0%
21.00-22.00,sec,3.3,MBytes,27.7,Mbits/sec,0.619,ms,0/2387,0%
22.00-23.00,sec,3.1,MBytes,26,Mbits/sec,0.777,ms,0/2245,0%
23.00-24.00,sec,3.41,MBytes,28.6,Mbits/sec,0.525,ms,0/2468,0%
24.00-25.00,sec,3.61,MBytes,30.3,Mbits/sec,0.616,ms,0/2614,0%
25.00-26.00,sec,3.54,MBytes,29.7,Mbits/sec,0.819,ms,0/2563,0%
26.00-27.00,sec,3.56,MBytes,29.9,Mbits/sec,0.66,ms,0/2578,0%
27.00-28.00,sec,3.47,MBytes,29.1,Mbits/sec,0.513,ms,0/2516,0%
28.00-29.00,sec,3.34,MBytes,28,Mbits/sec,0.902,ms,0/2416,0%
29.00-30.00,sec,3.38,MBytes,28.4,Mbits/sec,0.756,ms,0/2448,0%
30.00-31.00,sec,3.38,MBytes,28.3,Mbits/sec,0.653,ms,0/2445,0%
31.00-32.00,sec,3.44,MBytes,28.9,Mbits/sec,0.53,ms,0/2493,0%
32.00-33.00,sec,3.65,MBytes,30.6,Mbits/sec,0.59,ms,0/2645,0%
33.00-34.00,sec,3.52,MBytes,29.6,Mbits/sec,0.584,ms,0/2551,0%
34.00-35.00,sec,3.24,MBytes,27.2,Mbits/sec,0.955,ms,0/2345,0%
35.00-36.00,sec,3.46,MBytes,29,Mbits/sec,1.321,ms,0/2502,0%
36.00-37.00,sec,2.88,MBytes,24.2,Mbits/sec,0.701,ms,0/2089,0%
37.00-38.00,sec,3.22,MBytes,27,Mbits/sec,0.684,ms,0/2330,0%
38.00-39.00,sec,3.19,MBytes,26.8,Mbits/sec,1.332,ms,0/2313,0%
39.00-40.00,sec,3.36,MBytes,28.2,Mbits/sec,0.704,ms,0/2433,0%
40.00-41.00,sec,3.56,MBytes,29.9,Mbits/sec,0.665,ms,0/2577,0%
41.00-42.00,sec,3.67,MBytes,30.8,Mbits/sec,0.57,ms,0/2655,0%
42.00-43.00,sec,3.23,MBytes,27.1,Mbits/sec,0.932,ms,0/2336,0%
43.00-44.00,sec,3.53,MBytes,29.6,Mbits/sec,0.935,ms,0/2554,0%
44.00-45.00,sec,3.3,MBytes,27.7,Mbits/sec,1.883,ms,0/2392,0%
45.00-46.00,sec,3.17,MBytes,26.6,Mbits/sec,0.597,ms,0/2296,0%
46.00-47.00,sec,3.52,MBytes,29.5,Mbits/sec,0.581,ms,0/2547,0%
47.00-48.00,sec,3.41,MBytes,28.6,Mbits/sec,0.935,ms,0/2466,0%
48.00-49.00,sec,3.6,MBytes,30.2,Mbits/sec,0.439,ms,0/2606,0%
49.00-50.00,sec,3.48,MBytes,29.2,Mbits/sec,0.552,ms,0/2522,0%
50.00-51.00,sec,3.43,MBytes,28.7,Mbits/sec,0.618,ms,0/2481,0%
51.00-52.00,sec,3.26,MBytes,27.4,Mbits/sec,0.781,ms,0/2363,0%
52.00-53.00,sec,3.56,MBytes,29.8,Mbits/sec,0.566,ms,0/2576,0%
53.00-54.00,sec,3.18,MBytes,26.7,Mbits/sec,0.587,ms,0/2303,0%
54.00-55.00,sec,3.41,MBytes,28.6,Mbits/sec,0.583,ms,0/2472,0%
55.00-56.00,sec,3.24,MBytes,27.2,Mbits/sec,0.636,ms,0/2344,0%
56.00-57.00,sec,3.54,MBytes,29.7,Mbits/sec,0.849,ms,0/2566,0%
57.00-58.00,sec,3.24,MBytes,27.2,Mbits/sec,0.863,ms,0/2347,0%
58.00-59.00,sec,2.94,MBytes,24.7,Mbits/sec,1.269,ms,0/2131,0%
59.00-60.00,sec,3.19,MBytes,26.7,Mbits/sec,0.824,ms,0/2307,0%
60.00-61.00,sec,3.3,MBytes,27.7,Mbits/sec,0.674,ms,0/2393,0%
61.00-62.00,sec,3.5,MBytes,29.4,Mbits/sec,0.545,ms,0/2536,0%
62.00-63.00,sec,3.45,MBytes,29,Mbits/sec,0.555,ms,0/2500,0%
63.00-64.00,sec,2.88,MBytes,24.1,Mbits/sec,0.944,ms,0/2083,0%
64.00-65.00,sec,3.32,MBytes,27.9,Mbits/sec,0.74,ms,0/2406,0%
65.00-66.00,sec,3.11,MBytes,26.1,Mbits/sec,0.67,ms,0/2253,0%
66.00-67.00,sec,2.52,MBytes,21.1,Mbits/sec,1.096,ms,0/1822,0%
67.00-68.00,sec,2.81,MBytes,23.5,Mbits/sec,1.641,ms,0/2032,0%
68.00-69.00,sec,3.33,MBytes,27.9,Mbits/sec,0.68,ms,0/2409,0%
69.00-70.00,sec,2.19,MBytes,18.4,Mbits/sec,1.39,ms,0/1585,0%
70.00-71.00,sec,2.51,MBytes,21.1,Mbits/sec,0.537,ms,0/1820,0%
71.00-72.00,sec,2.45,MBytes,20.6,Mbits/sec,0.923,ms,0/1775,0%
72.00-73.00,sec,2.73,MBytes,22.9,Mbits/sec,1.543,ms,0/1976,0%
73.00-74.00,sec,3.16,MBytes,26.5,Mbits/sec,0.816,ms,0/2286,0%
74.00-75.00,sec,3.43,MBytes,28.8,Mbits/sec,0.865,ms,0/2485,0%
75.00-75.09,sec,168,KBytes,15.8,Mbits/sec,0.683,ms,0/119,0%
- - - - - - -,- -,- - -,- - - -,- -,- - - -,,,,
Interval,,Transfer,,Bitrate,,Jitter,,Lost/Total Datagrams,
0.00-75.09,sec,248,MBytes,27.7,Mbits/sec,0.683,ms,0/1797,18 (0%)  receiver
