Interval,,Transfer,,Bitrate,,Jitter,,Lost/Total Datagrams,
0.00-1.00,sec,727,KBytes,5.95,Mbits/sec,1.416,ms,0/514,0%
1.00-2.00,sec,734,KBytes,6.01,Mbits/sec,1.435,ms,0/519,0%
2.00-3.00,sec,730,KBytes,5.98,Mbits/sec,1.574,ms,0/516,0%
3.00-4.00,sec,734,KBytes,6.01,Mbits/sec,1.457,ms,0/519,0%
4.00-5.00,sec,732,KBytes,6,Mbits/sec,1.377,ms,0/518,0%
5.00-6.00,sec,734,KBytes,6.01,Mbits/sec,1.088,ms,0/519,0%
6.00-7.00,sec,732,KBytes,6,Mbits/sec,1.452,ms,0/518,0%
7.00-8.00,sec,732,KBytes,6,Mbits/sec,0.905,ms,0/518,0%
8.00-9.00,sec,732,KBytes,6,Mbits/sec,1.618,ms,0/518,0%
9.00-10.00,sec,732,KBytes,6,Mbits/sec,1.032,ms,0/518,0%
10.00-11.00,sec,732,KBytes,6,Mbits/sec,1.642,ms,0/518,0%
11.00-12.00,sec,732,KBytes,6,Mbits/sec,1.523,ms,0/518,0%
12.00-13.00,sec,732,KBytes,6,Mbits/sec,1.011,ms,0/518,0%
13.00-14.00,sec,732,KBytes,6,Mbits/sec,0.87,ms,0/518,0%
14.00-15.00,sec,732,KBytes,6,Mbits/sec,0.912,ms,0/518,0%
15.00-16.00,sec,732,KBytes,6,Mbits/sec,0.889,ms,0/518,0%
16.00-17.00,sec,731,KBytes,5.99,Mbits/sec,1.786,ms,0/517,0%
17.00-18.00,sec,734,KBytes,6.01,Mbits/sec,1.071,ms,0/519,0%
18.00-19.00,sec,732,KBytes,6,Mbits/sec,0.762,ms,0/518,0%
19.00-20.00,sec,732,KBytes,6,Mbits/sec,1.272,ms,0/518,0%
20.00-21.00,sec,732,KBytes,6,Mbits/sec,0.722,ms,0/518,0%
21.00-22.00,sec,731,KBytes,5.99,Mbits/sec,1.251,ms,0/517,0%
22.00-23.00,sec,731,KBytes,5.99,Mbits/sec,1.592,ms,0/517,0%
23.00-24.00,sec,734,KBytes,6.01,Mbits/sec,0.706,ms,0/519,0%
24.00-25.00,sec,731,KBytes,5.99,Mbits/sec,1.695,ms,0/517,0%
25.00-26.00,sec,734,KBytes,6.01,Mbits/sec,1.51,ms,0/519,0%
26.00-27.00,sec,732,KBytes,6,Mbits/sec,0.956,ms,0/518,0%
27.00-28.00,sec,732,KBytes,6,Mbits/sec,1.081,ms,0/518,0%
28.00-29.00,sec,732,KBytes,6,Mbits/sec,1.015,ms,0/518,0%
29.00-30.00,sec,732,KBytes,6,Mbits/sec,1.808,ms,0/518,0%
30.00-31.00,sec,732,KBytes,6,Mbits/sec,1.319,ms,0/518,0%
31.00-32.00,sec,732,KBytes,6,Mbits/sec,0.898,ms,0/518,0%
32.00-33.00,sec,732,KBytes,6,Mbits/sec,0.892,ms,0/518,0%
33.00-34.00,sec,732,KBytes,6,Mbits/sec,1.346,ms,0/518,0%
34.00-35.00,sec,732,KBytes,6,Mbits/sec,1.425,ms,0/518,0%
35.00-36.00,sec,732,KBytes,6,Mbits/sec,1.455,ms,0/518,0%
36.00-37.00,sec,732,KBytes,6,Mbits/sec,0.953,ms,0/518,0%
37.00-38.00,sec,731,KBytes,5.99,Mbits/sec,0.748,ms,0/517,0%
38.00-39.00,sec,734,KBytes,6.01,Mbits/sec,0.923,ms,0/519,0%
39.00-40.00,sec,731,KBytes,5.99,Mbits/sec,1.413,ms,0/517,0%
40.00-41.00,sec,734,KBytes,6.01,Mbits/sec,1.437,ms,0/519,0%
41.00-42.00,sec,732,KBytes,6,Mbits/sec,1.654,ms,0/518,0%
42.00-43.00,sec,731,KBytes,5.99,Mbits/sec,1.209,ms,0/517,0%
43.00-44.00,sec,731,KBytes,5.99,Mbits/sec,1.662,ms,0/517,0%
44.00-45.00,sec,732,KBytes,6,Mbits/sec,1.919,ms,0/518,0%
45.00-46.00,sec,732,KBytes,6,Mbits/sec,1.498,ms,0/518,0%
46.00-47.00,sec,728,KBytes,5.97,Mbits/sec,1.846,ms,0/515,0%
47.00-48.00,sec,738,KBytes,6.05,Mbits/sec,1.582,ms,0/522,0%
48.00-49.00,sec,732,KBytes,6,Mbits/sec,1.423,ms,0/518,0%
49.00-50.00,sec,732,KBytes,6,Mbits/sec,1.366,ms,0/518,0%
50.00-51.00,sec,732,KBytes,6,Mbits/sec,1.518,ms,0/518,0%
51.00-52.00,sec,732,KBytes,6,Mbits/sec,1.259,ms,0/518,0%
52.00-53.00,sec,732,KBytes,6,Mbits/sec,0.833,ms,0/518,0%
53.00-54.00,sec,730,KBytes,5.98,Mbits/sec,1.516,ms,0/516,0%
54.00-55.00,sec,735,KBytes,6.02,Mbits/sec,1.379,ms,0/520,0%
55.00-56.00,sec,731,KBytes,5.99,Mbits/sec,1.22,ms,0/517,0%
56.00-57.00,sec,732,KBytes,6,Mbits/sec,1.281,ms,0/518,0%
57.00-58.00,sec,732,KBytes,6,Mbits/sec,1.471,ms,0/518,0%
58.00-59.00,sec,731,KBytes,5.99,Mbits/sec,1.763,ms,0/517,0%
59.00-60.00,sec,735,KBytes,6.02,Mbits/sec,0.875,ms,0/520,0%
60.00-61.00,sec,732,KBytes,6,Mbits/sec,1.613,ms,0/518,0%
61.00-62.00,sec,732,KBytes,6,Mbits/sec,0.096,ms,0/518,0%
62.00-63.00,sec,732,KBytes,6,Mbits/sec,0.133,ms,0/518,0%
63.00-64.00,sec,732,KBytes,6,Mbits/sec,0.143,ms,0/518,0%
64.00-65.00,sec,732,KBytes,6,Mbits/sec,0.037,ms,0/518,0%
65.00-66.00,sec,732,KBytes,6,Mbits/sec,0.1,ms,0/518,0%
66.00-67.00,sec,731,KBytes,5.99,Mbits/sec,0.105,ms,0/517,0%
67.00-68.00,sec,732,KBytes,6,Mbits/sec,0.064,ms,0/518,0%
68.00-69.00,sec,732,KBytes,6,Mbits/sec,0.05,ms,0/518,0%
69.00-70.00,sec,732,KBytes,6,Mbits/sec,0.079,ms,0/518,0%
70.00-70.01,sec,4.24,KBytes,6.24,Mbits/sec,0.067,ms,0/3 (,0%)
- - - - - - -,- -,- - -,- - - -,- -,- - - -,,,,
Interval,,Transfer,,Bitrate,,Jitter,,Lost/Total Datagrams,
0.00-70.01,sec,50.1,MBytes,6,Mbits/sec,0.067,ms,0/362,57 (0%)  receiver
