Interval,,Transfer,,Bitrate,,Jitter,,Lost/Total Datagrams,
0.00-1.00,sec,2.34,MBytes,19.7,Mbits/sec,0.841,ms,0/1698,0%
1.00-2.00,sec,2.41,MBytes,20.2,Mbits/sec,0.369,ms,0/1745,0%
2.00-3.00,sec,2.38,MBytes,19.9,Mbits/sec,0.461,ms,0/1722,0%
3.00-4.00,sec,2.38,MBytes,20,Mbits/sec,0.662,ms,0/1726,0%
4.00-5.00,sec,2.39,MBytes,20.1,Mbits/sec,0.14,ms,0/1732,0%
5.00-6.00,sec,2.36,MBytes,19.8,Mbits/sec,0.521,ms,0/1709,0%
6.00-7.00,sec,2.38,MBytes,19.9,Mbits/sec,0.612,ms,0/1722,0%
7.00-8.00,sec,2.39,MBytes,20.1,Mbits/sec,0.705,ms,0/1731,0%
8.00-9.00,sec,2.39,MBytes,20,Mbits/sec,0.61,ms,0/1729,0%
9.00-10.00,sec,2.4,MBytes,20.1,Mbits/sec,0.406,ms,0/1738,0%
10.00-11.00,sec,2.37,MBytes,19.8,Mbits/sec,0.918,ms,0/1713,0%
11.00-12.00,sec,2.41,MBytes,20.2,Mbits/sec,0.364,ms,0/1744,0%
12.00-13.00,sec,2.37,MBytes,19.9,Mbits/sec,0.57,ms,0/1718,0%
13.00-14.00,sec,2.38,MBytes,19.9,Mbits/sec,0.776,ms,0/1721,0%
14.00-15.00,sec,2.39,MBytes,20,Mbits/sec,0.771,ms,0/1730,0%
15.00-16.00,sec,2.4,MBytes,20.1,Mbits/sec,0.562,ms,0/1736,0%
16.00-17.00,sec,2.33,MBytes,19.6,Mbits/sec,1.371,ms,0/1690,0%
17.00-18.00,sec,2.41,MBytes,20.2,Mbits/sec,0.892,ms,0/1742,0%
18.00-19.00,sec,2.41,MBytes,20.2,Mbits/sec,0.58,ms,0/1746,0%
19.00-20.00,sec,2.37,MBytes,19.8,Mbits/sec,0.585,ms,0/1713,0%
20.00-21.00,sec,2.4,MBytes,20.1,Mbits/sec,0.554,ms,0/1737,0%
21.00-22.00,sec,2.39,MBytes,20.1,Mbits/sec,0.301,ms,0/1732,0%
22.00-23.00,sec,2.38,MBytes,20,Mbits/sec,0.302,ms,0/1726,0%
23.00-24.00,sec,2.38,MBytes,19.9,Mbits/sec,0.401,ms,0/1722,0%
24.00-25.00,sec,2.39,MBytes,20.1,Mbits/sec,0.477,ms,0/1731,0%
25.00-26.00,sec,2.38,MBytes,20,Mbits/sec,0.312,ms,0/1727,0%
26.00-27.00,sec,2.38,MBytes,20,Mbits/sec,0.171,ms,0/1726,0%
27.00-28.00,sec,2.38,MBytes,20,Mbits/sec,0.208,ms,0/1727,0%
28.00-29.00,sec,2.38,MBytes,20,Mbits/sec,0.493,ms,0/1726,0%
29.00-30.00,sec,2.36,MBytes,19.8,Mbits/sec,0.933,ms,0/1707,0%
30.00-31.00,sec,2.39,MBytes,20.1,Mbits/sec,0.742,ms,0/1733,0%
31.00-32.00,sec,2.4,MBytes,20.2,Mbits/sec,0.516,ms,0/1740,0%
32.00-33.00,sec,2.36,MBytes,19.8,Mbits/sec,0.748,ms,0/1711,0%
33.00-34.00,sec,2.41,MBytes,20.2,Mbits/sec,0.292,ms,0/1742,0%
34.00-35.00,sec,2.37,MBytes,19.9,Mbits/sec,0.533,ms,0/1717,0%
35.00-36.00,sec,2.39,MBytes,20.1,Mbits/sec,0.622,ms,0/1732,0%
36.00-37.00,sec,2.36,MBytes,19.8,Mbits/sec,0.923,ms,0/1707,0%
37.00-38.00,sec,2.42,MBytes,20.3,Mbits/sec,0.182,ms,0/1750,0%
38.00-39.00,sec,2.36,MBytes,19.8,Mbits/sec,0.623,ms,0/1706,0%
39.00-40.00,sec,2.4,MBytes,20.1,Mbits/sec,0.509,ms,0/1736,0%
40.00-41.00,sec,2.39,MBytes,20,Mbits/sec,0.485,ms,0/1729,0%
41.00-42.00,sec,2.38,MBytes,20,Mbits/sec,0.572,ms,0/1724,0%
42.00-43.00,sec,2.4,MBytes,20.1,Mbits/sec,0.506,ms,0/1738,0%
43.00-44.00,sec,2.38,MBytes,20,Mbits/sec,0.156,ms,0/1726,0%
44.00-45.00,sec,2.38,MBytes,20,Mbits/sec,0.454,ms,0/1727,0%
45.00-46.00,sec,2.35,MBytes,19.7,Mbits/sec,0.91,ms,0/1702,0%
46.00-47.00,sec,2.42,MBytes,20.3,Mbits/sec,0.223,ms,0/1751,0%
47.00-48.00,sec,2.38,MBytes,20,Mbits/sec,0.374,ms,0/1726,0%
48.00-49.00,sec,2.34,MBytes,19.6,Mbits/sec,1.103,ms,0/1695,0%
49.00-50.00,sec,2.42,MBytes,20.3,Mbits/sec,0.488,ms,0/1756,0%
50.00-51.00,sec,2.39,MBytes,20,Mbits/sec,0.243,ms,0/1729,0%
51.00-52.00,sec,2.38,MBytes,20,Mbits/sec,0.223,ms,0/1726,0%
52.00-53.00,sec,2.36,MBytes,19.8,Mbits/sec,0.899,ms,0/1711,0%
53.00-54.00,sec,2.4,MBytes,20.2,Mbits/sec,0.427,ms,0/1741,0%
54.00-55.00,sec,2.38,MBytes,19.9,Mbits/sec,0.492,ms,0/1720,0%
55.00-56.00,sec,2.38,MBytes,20,Mbits/sec,0.573,ms,0/1724,0%
56.00-57.00,sec,2.4,MBytes,20.1,Mbits/sec,0.183,ms,0/1737,0%
57.00-58.00,sec,2.35,MBytes,19.7,Mbits/sec,0.697,ms,0/1701,0%
58.00-59.00,sec,2.42,MBytes,20.3,Mbits/sec,0.189,ms,0/1752,0%
59.00-60.00,sec,2.38,MBytes,19.9,Mbits/sec,0.462,ms,0/1720,0%
60.00-61.00,sec,2.31,MBytes,19.3,Mbits/sec,1.617,ms,0/1670,0%
61.00-62.00,sec,2.43,MBytes,20.4,Mbits/sec,0.942,ms,0/1759,0%
62.00-63.00,sec,2.43,MBytes,20.4,Mbits/sec,0.372,ms,0/1757,0%
63.00-64.00,sec,2.37,MBytes,19.9,Mbits/sec,0.502,ms,0/1716,0%
64.00-65.00,sec,2.4,MBytes,20.1,Mbits/sec,0.332,ms,0/1737,0%
65.00-66.00,sec,2.38,MBytes,20,Mbits/sec,0.441,ms,0/1727,0%
66.00-67.00,sec,2.36,MBytes,19.8,Mbits/sec,1.077,ms,0/1711,0%
67.00-68.00,sec,2.39,MBytes,20,Mbits/sec,0.69,ms,0/1729,0%
68.00-69.00,sec,2.39,MBytes,20,Mbits/sec,0.636,ms,0/1730,0%
69.00-70.00,sec,2.4,MBytes,20.1,Mbits/sec,0.177,ms,0/1736,0%
70.00-71.00,sec,2.33,MBytes,19.6,Mbits/sec,1.092,ms,0/1688,0%
71.00-72.00,sec,2.42,MBytes,20.3,Mbits/sec,0.485,ms,0/1756,0%
72.00-73.00,sec,2.4,MBytes,20.1,Mbits/sec,0.482,ms,0/1735,0%
73.00-74.00,sec,2.33,MBytes,19.6,Mbits/sec,1.371,ms,0/1690,0%
74.00-75.00,sec,2.43,MBytes,20.4,Mbits/sec,0.218,ms,0/1763,0%
75.00-75.01,sec,12.7,KBytes,19,Mbits/sec,0.183,ms,0/9 (0,%)
- - - - - - -,- -,- - -,- - - -,- -,- - - -,,,,
Interval,,Transfer,,Bitrate,,Jitter,,Lost/Total Datagrams,
0.00-75.01,sec,179,MBytes,20,Mbits/sec,0.183,ms,0/1294,88 (0%)  receiver
