Interval,,Transfer,,Bitrate,,Jitter,,Lost/Total Datagrams,
0.00-1.00,sec,2.85,MBytes,23.9,Mbits/sec,0.43,ms,0/2064,0%
1.00-2.00,sec,2.84,MBytes,23.8,Mbits/sec,0.588,ms,0/2056,0%
2.00-3.00,sec,2.68,MBytes,22.5,Mbits/sec,0.656,ms,0/1942,0%
3.00-4.00,sec,3.01,MBytes,25.3,Mbits/sec,0.348,ms,0/2180,0%
4.00-5.00,sec,2.92,MBytes,24.5,Mbits/sec,0.574,ms,0/2112,0%
5.00-6.00,sec,2.81,MBytes,23.6,Mbits/sec,0.98,ms,0/2038,0%
6.00-7.00,sec,2.88,MBytes,24.2,Mbits/sec,0.836,ms,0/2087,0%
7.00-8.00,sec,2.87,MBytes,24,Mbits/sec,0.367,ms,0/2075,0%
8.00-9.00,sec,2.84,MBytes,23.8,Mbits/sec,0.866,ms,0/2058,0%
9.00-10.00,sec,2.88,MBytes,24.1,Mbits/sec,0.324,ms,0/2082,0%
10.00-11.00,sec,2.85,MBytes,23.9,Mbits/sec,0.324,ms,0/2062,0%
11.00-12.00,sec,2.84,MBytes,23.8,Mbits/sec,0.835,ms,0/2059,0%
12.00-13.00,sec,2.89,MBytes,24.2,Mbits/sec,0.663,ms,0/2093,0%
13.00-14.00,sec,2.81,MBytes,23.6,Mbits/sec,0.594,ms,0/2033,0%
14.00-15.00,sec,2.91,MBytes,24.4,Mbits/sec,0.503,ms,0/2107,0%
15.00-16.00,sec,2.87,MBytes,24,Mbits/sec,0.66,ms,0/2075,0%
16.00-17.00,sec,2.89,MBytes,24.2,Mbits/sec,0.342,ms,0/2092,0%
17.00-18.00,sec,2.85,MBytes,23.9,Mbits/sec,0.66,ms,0/2066,0%
18.00-19.00,sec,2.87,MBytes,24.1,Mbits/sec,0.269,ms,0/2078,0%
19.00-20.00,sec,2.86,MBytes,24,Mbits/sec,0.566,ms,0/2072,0%
20.00-21.00,sec,2.86,MBytes,24,Mbits/sec,0.362,ms,0/2069,0%
21.00-22.00,sec,2.85,MBytes,23.9,Mbits/sec,0.647,ms,0/2061,0%
22.00-23.00,sec,2.83,MBytes,23.7,Mbits/sec,0.332,ms,0/2046,0%
23.00-24.00,sec,2.92,MBytes,24.5,Mbits/sec,0.215,ms,0/2112,0%
24.00-25.00,sec,2.86,MBytes,24,Mbits/sec,0.354,ms,0/2070,0%
25.00-26.00,sec,2.86,MBytes,24,Mbits/sec,0.272,ms,0/2073,0%
26.00-27.00,sec,2.84,MBytes,23.8,Mbits/sec,0.795,ms,0/2056,0%
27.00-28.00,sec,2.75,MBytes,23.1,Mbits/sec,1.231,ms,0/1988,0%
28.00-29.00,sec,3,MBytes,25.2,Mbits/sec,0.422,ms,0/2172,0%
29.00-30.00,sec,2.86,MBytes,24,Mbits/sec,0.207,ms,0/2071,0%
30.00-31.00,sec,2.82,MBytes,23.7,Mbits/sec,0.835,ms,0/2042,0%
31.00-32.00,sec,2.87,MBytes,24.1,Mbits/sec,0.374,ms,0/2078,0%
32.00-33.00,sec,2.89,MBytes,24.2,Mbits/sec,0.544,ms,0/2092,0%
33.00-34.00,sec,2.79,MBytes,23.4,Mbits/sec,0.665,ms,0/2022,0%
34.00-35.00,sec,2.9,MBytes,24.3,Mbits/sec,0.886,ms,0/2100,0%
35.00-36.00,sec,2.85,MBytes,23.9,Mbits/sec,0.47,ms,0/2064,0%
36.00-37.00,sec,2.88,MBytes,24.2,Mbits/sec,0.551,ms,0/2085,0%
37.00-38.00,sec,2.88,MBytes,24.2,Mbits/sec,0.451,ms,0/2089,0%
38.00-39.00,sec,2.87,MBytes,24,Mbits/sec,0.368,ms,0/2076,0%
39.00-40.00,sec,2.86,MBytes,24,Mbits/sec,0.244,ms,0/2070,0%
40.00-41.00,sec,2.85,MBytes,23.9,Mbits/sec,0.607,ms,0/2061,0%
41.00-42.00,sec,2.88,MBytes,24.1,Mbits/sec,0.482,ms,0/2083,0%
42.00-43.00,sec,2.86,MBytes,24,Mbits/sec,0.28,ms,0/2072,0%
43.00-44.00,sec,2.84,MBytes,23.9,Mbits/sec,0.593,ms,0/2059,0%
44.00-45.00,sec,2.86,MBytes,24,Mbits/sec,0.646,ms,0/2073,0%
45.00-46.00,sec,2.87,MBytes,24,Mbits/sec,0.536,ms,0/2076,0%
46.00-47.00,sec,2.85,MBytes,23.9,Mbits/sec,0.504,ms,0/2064,0%
47.00-48.00,sec,2.8,MBytes,23.5,Mbits/sec,0.873,ms,0/2028,0%
48.00-49.00,sec,2.94,MBytes,24.7,Mbits/sec,0.321,ms,0/2130,0%
49.00-50.00,sec,2.8,MBytes,23.5,Mbits/sec,1.311,ms,0/2026,0%
50.00-51.00,sec,2.92,MBytes,24.5,Mbits/sec,0.31,ms,0/2118,0%
51.00-52.00,sec,2.85,MBytes,23.9,Mbits/sec,0.359,ms,0/2064,0%
52.00-53.00,sec,2.87,MBytes,24.1,Mbits/sec,0.236,ms,0/2080,0%
