Interval,,Transfer,,Bitrate,,Jitter,,Lost/Total Datagrams,
0.00-1.00,sec,3.03,MBytes,25.4,Mbits/sec,0.648,ms,0/2192,0%
1.00-2.00,sec,3.04,MBytes,25.5,Mbits/sec,0.621,ms,0/2204,0%
2.00-3.00,sec,2.91,MBytes,24.4,Mbits/sec,0.692,ms,0/2107,0%
3.00-4.00,sec,3.16,MBytes,26.5,Mbits/sec,0.62,ms,0/2289,0%
4.00-5.00,sec,3.23,MBytes,27.1,Mbits/sec,0.495,ms,0/2336,0%
5.00-6.00,sec,3.49,MBytes,29.3,Mbits/sec,0.903,ms,0/2529,0%
6.00-7.00,sec,3.52,MBytes,29.5,Mbits/sec,0.485,ms,0/2549,0%
7.00-8.00,sec,3.39,MBytes,28.4,Mbits/sec,0.641,ms,0/2452,0%
8.00-9.00,sec,3.54,MBytes,29.7,Mbits/sec,0.596,ms,0/2564,0%
9.00-10.00,sec,3.64,MBytes,30.5,Mbits/sec,0.694,ms,0/2634,0%
10.00-11.00,sec,3.5,MBytes,29.4,Mbits/sec,0.973,ms,0/2536,0%
11.00-12.00,sec,3.58,MBytes,30,Mbits/sec,0.585,ms,0/2593,0%
12.00-13.00,sec,3.34,MBytes,28,Mbits/sec,0.413,ms,0/2417,0%
13.00-14.00,sec,3.34,MBytes,28,Mbits/sec,0.446,ms,0/2418,0%
14.00-15.00,sec,3.31,MBytes,27.8,Mbits/sec,0.492,ms,0/2397,0%
15.00-16.00,sec,3.25,MBytes,27.3,Mbits/sec,0.372,ms,0/2356,0%
16.00-17.00,sec,3.4,MBytes,28.5,Mbits/sec,0.626,ms,0/2464,0%
17.00-18.00,sec,3.34,MBytes,28,Mbits/sec,0.46,ms,0/2416,0%
18.00-19.00,sec,3.38,MBytes,28.4,Mbits/sec,0.486,ms,0/2451,0%
19.00-20.00,sec,3.26,MBytes,27.3,Mbits/sec,0.431,ms,0/2358,0%
20.00-21.00,sec,3.4,MBytes,28.6,Mbits/sec,0.472,ms,0/2465,0%
21.00-22.00,sec,3.32,MBytes,27.9,Mbits/sec,0.483,ms,0/2407,0%
22.00-23.00,sec,3.2,MBytes,26.8,Mbits/sec,0.652,ms,0/2316,0%
23.00-24.00,sec,3.51,MBytes,29.4,Mbits/sec,0.503,ms,0/2541,0%
24.00-25.00,sec,3.31,MBytes,27.7,Mbits/sec,0.404,ms,0/2395,0%
25.00-26.00,sec,3.33,MBytes,28,Mbits/sec,0.463,ms,0/2415,0%
26.00-27.00,sec,3.37,MBytes,28.2,Mbits/sec,0.496,ms,0/2438,0%
27.00-28.00,sec,3.15,MBytes,26.4,Mbits/sec,0.483,ms,0/2281,0%
28.00-29.00,sec,3.46,MBytes,29,Mbits/sec,0.415,ms,0/2502,0%
29.00-30.00,sec,3.37,MBytes,28.3,Mbits/sec,0.584,ms,0/2442,0%
30.00-31.00,sec,3.38,MBytes,28.3,Mbits/sec,0.448,ms,0/2445,0%
31.00-32.00,sec,3.31,MBytes,27.8,Mbits/sec,0.498,ms,0/2397,0%
32.00-33.01,sec,3.37,MBytes,28,Mbits/sec,0.908,ms,0/2441,0%
33.01-34.00,sec,3.34,MBytes,28.2,Mbits/sec,0.403,ms,0/2416,0%
34.00-35.00,sec,3.11,MBytes,26.1,Mbits/sec,0.527,ms,0/2252,0%
35.00-36.00,sec,3.5,MBytes,29.3,Mbits/sec,0.454,ms,0/2532,0%
36.00-37.00,sec,3.37,MBytes,28.2,Mbits/sec,0.42,ms,0/2437,0%
37.00-38.00,sec,3.22,MBytes,27,Mbits/sec,0.71,ms,0/2330,0%
38.00-39.00,sec,3.18,MBytes,26.7,Mbits/sec,0.735,ms,0/2306,0%
39.00-40.00,sec,3.18,MBytes,26.7,Mbits/sec,0.645,ms,0/2305,0%
40.00-41.00,sec,3.51,MBytes,29.4,Mbits/sec,0.657,ms,0/2541,0%
41.00-42.00,sec,2.98,MBytes,25,Mbits/sec,0.573,ms,0/2156,0%
42.00-43.00,sec,3.42,MBytes,28.7,Mbits/sec,0.565,ms,0/2474,0%
43.00-44.00,sec,3.31,MBytes,27.7,Mbits/sec,0.635,ms,0/2395,0%
44.00-45.00,sec,3.14,MBytes,26.3,Mbits/sec,0.585,ms,0/2272,0%
45.00-46.00,sec,3.61,MBytes,30.3,Mbits/sec,0.659,ms,0/2615,0%
46.00-47.00,sec,3.24,MBytes,27.2,Mbits/sec,0.942,ms,0/2349,0%
47.00-48.00,sec,3.27,MBytes,27.5,Mbits/sec,0.548,ms,0/2370,0%
48.00-49.00,sec,3.49,MBytes,29.3,Mbits/sec,0.677,ms,0/2526,0%
49.00-50.00,sec,3.48,MBytes,29.2,Mbits/sec,0.55,ms,0/2523,0%
50.00-51.01,sec,3.55,MBytes,29.6,Mbits/sec,1.483,ms,0/2574,0%
51.01-52.00,sec,3.45,MBytes,29.2,Mbits/sec,0.483,ms,0/2496,0%
52.00-53.00,sec,3.26,MBytes,27.4,Mbits/sec,0.602,ms,0/2364,0%
53.00-54.00,sec,3.41,MBytes,28.6,Mbits/sec,0.383,ms,0/2470,0%
54.00-55.00,sec,3.37,MBytes,28.3,Mbits/sec,0.479,ms,0/2440,0%
55.00-56.00,sec,3.32,MBytes,27.8,Mbits/sec,0.502,ms,0/2403,0%
56.00-57.00,sec,3.36,MBytes,28.2,Mbits/sec,0.478,ms,0/2431,0%
57.00-58.00,sec,3.38,MBytes,28.4,Mbits/sec,0.43,ms,0/2450,0%
58.00-59.00,sec,3.31,MBytes,27.7,Mbits/sec,0.729,ms,0/2395,0%
59.00-60.00,sec,3.3,MBytes,27.7,Mbits/sec,0.498,ms,0/2387,0%
60.00-61.00,sec,3.34,MBytes,28,Mbits/sec,0.444,ms,0/2416,0%
61.00-62.00,sec,3.36,MBytes,28.2,Mbits/sec,0.945,ms,0/2433,0%
62.00-63.00,sec,3.35,MBytes,28.1,Mbits/sec,0.392,ms,0/2426,0%
63.00-64.00,sec,3.3,MBytes,27.7,Mbits/sec,0.424,ms,0/2387,0%
64.00-65.00,sec,3.33,MBytes,28,Mbits/sec,0.469,ms,0/2415,0%
65.00-66.00,sec,3.38,MBytes,28.3,Mbits/sec,0.569,ms,0/2446,0%
66.00-67.00,sec,3.38,MBytes,28.4,Mbits/sec,0.396,ms,0/2450,0%
67.00-68.00,sec,3.29,MBytes,27.6,Mbits/sec,0.544,ms,0/2383,0%
68.00-69.00,sec,3.3,MBytes,27.7,Mbits/sec,0.566,ms,0/2393,0%
69.00-70.00,sec,3.21,MBytes,26.9,Mbits/sec,0.541,ms,0/2322,0%
70.00-71.00,sec,3.55,MBytes,29.7,Mbits/sec,0.44,ms,0/2568,0%
71.00-72.00,sec,3.29,MBytes,27.6,Mbits/sec,0.911,ms,0/2381,0%
72.00-73.00,sec,3.3,MBytes,27.7,Mbits/sec,0.659,ms,0/2392,0%
73.00-74.00,sec,3.42,MBytes,28.7,Mbits/sec,0.367,ms,0/2480,0%
74.00-75.00,sec,3.21,MBytes,26.9,Mbits/sec,1.182,ms,0/2323,0%
75.00-75.05,sec,157,KBytes,27.7,Mbits/sec,0.538,ms,0/111,0%
- - - - - - -,- -,- - -,- - - -,- -,- - - -,,,,
