Interval,,Transfer,,Bitrate,,Jitter,,Lost/Total Datagrams,
0.00-1.00,sec,243,KBytes,1.99,Mbits/sec,6.793,ms,0/172,0%
1.00-2.00,sec,245,KBytes,2,Mbits/sec,0.847,ms,0/173,0%
2.00-3.00,sec,245,KBytes,2,Mbits/sec,0.43,ms,0/173,0%
3.00-4.00,sec,243,KBytes,1.99,Mbits/sec,0.852,ms,0/172,0%
4.00-5.00,sec,245,KBytes,2,Mbits/sec,1.187,ms,0/173,0%
5.00-6.00,sec,245,KBytes,2,Mbits/sec,0.561,ms,0/173,0%
6.00-7.00,sec,243,KBytes,1.99,Mbits/sec,0.564,ms,0/172,0%
7.00-8.00,sec,245,KBytes,2,Mbits/sec,0.775,ms,0/173,0%
8.00-9.00,sec,245,KBytes,2,Mbits/sec,0.837,ms,0/173,0%
9.00-10.00,sec,243,KBytes,1.99,Mbits/sec,0.739,ms,0/172,0%
10.00-11.00,sec,245,KBytes,2,Mbits/sec,0.74,ms,0/173,0%
11.00-12.00,sec,245,KBytes,2,Mbits/sec,1.084,ms,0/173,0%
12.00-13.00,sec,243,KBytes,1.99,Mbits/sec,0.738,ms,0/172,0%
13.00-14.00,sec,245,KBytes,2,Mbits/sec,0.43,ms,0/173,0%
14.00-15.00,sec,243,KBytes,1.99,Mbits/sec,0.637,ms,0/172,0%
15.00-16.00,sec,245,KBytes,2,Mbits/sec,0.589,ms,0/173,0%
16.00-17.00,sec,245,KBytes,2,Mbits/sec,0.662,ms,0/173,0%
17.00-18.00,sec,245,KBytes,2,Mbits/sec,0.768,ms,0/173,0%
18.00-19.00,sec,243,KBytes,1.99,Mbits/sec,0.691,ms,0/172,0%
19.00-20.00,sec,245,KBytes,2,Mbits/sec,0.532,ms,0/173,0%
20.00-21.00,sec,245,KBytes,2,Mbits/sec,0.954,ms,0/173,0%
21.00-22.00,sec,243,KBytes,1.99,Mbits/sec,0.541,ms,0/172,0%
22.00-23.00,sec,245,KBytes,2,Mbits/sec,0.824,ms,0/173,0%
23.00-24.00,sec,243,KBytes,1.99,Mbits/sec,0.845,ms,0/172,0%
24.00-25.00,sec,245,KBytes,2,Mbits/sec,0.929,ms,0/173,0%
25.00-26.00,sec,245,KBytes,2,Mbits/sec,0.669,ms,0/173,0%
26.00-27.00,sec,245,KBytes,2,Mbits/sec,1.214,ms,0/173,0%
27.00-28.00,sec,243,KBytes,1.99,Mbits/sec,0.632,ms,0/172,0%
28.00-29.00,sec,245,KBytes,2,Mbits/sec,0.609,ms,0/173,0%
29.00-30.00,sec,243,KBytes,1.99,Mbits/sec,0.592,ms,0/172,0%
30.00-31.00,sec,245,KBytes,2,Mbits/sec,0.554,ms,0/173,0%
31.00-32.00,sec,245,KBytes,2,Mbits/sec,0.799,ms,0/173,0%
32.00-33.00,sec,243,KBytes,1.99,Mbits/sec,1.041,ms,0/172,0%
33.00-34.00,sec,245,KBytes,2,Mbits/sec,0.983,ms,0/173,0%
34.00-35.00,sec,245,KBytes,2,Mbits/sec,0.771,ms,0/173,0%
35.00-36.00,sec,243,KBytes,1.99,Mbits/sec,0.391,ms,0/172,0%
36.00-37.00,sec,245,KBytes,2,Mbits/sec,0.437,ms,0/173,0%
37.00-38.00,sec,245,KBytes,2,Mbits/sec,0.475,ms,0/173,0%
38.00-39.00,sec,243,KBytes,1.99,Mbits/sec,0.735,ms,0/172,0%
39.00-40.00,sec,245,KBytes,2,Mbits/sec,1.387,ms,0/173,0%
40.00-41.00,sec,245,KBytes,2,Mbits/sec,0.928,ms,0/173,0%
41.00-42.00,sec,243,KBytes,1.99,Mbits/sec,0.493,ms,0/172,0%
42.00-43.00,sec,245,KBytes,2,Mbits/sec,0.742,ms,0/173,0%
43.00-44.00,sec,245,KBytes,2,Mbits/sec,0.473,ms,0/173,0%
44.00-45.00,sec,243,KBytes,1.99,Mbits/sec,0.722,ms,0/172,0%
45.00-46.00,sec,245,KBytes,2,Mbits/sec,0.658,ms,0/173,0%
46.00-47.00,sec,243,KBytes,1.99,Mbits/sec,0.723,ms,0/172,0%
47.00-48.00,sec,245,KBytes,2,Mbits/sec,0.385,ms,0/173,0%
48.00-49.00,sec,243,KBytes,1.99,Mbits/sec,0.635,ms,0/172,0%
49.00-50.00,sec,245,KBytes,2,Mbits/sec,0.616,ms,0/173,0%
50.00-51.00,sec,245,KBytes,2,Mbits/sec,0.522,ms,0/173,0%
51.00-52.00,sec,245,KBytes,2,Mbits/sec,0.495,ms,0/173,0%
52.00-53.00,sec,243,KBytes,1.99,Mbits/sec,0.737,ms,0/172,0%
