Interval,,Transfer,,Bitrate,,Jitter,,Lost/Total Datagrams,
0.00-1.00,sec,1.43,MBytes,12,Mbits/sec,0.258,ms,0/1032,0%
1.00-2.00,sec,1.43,MBytes,12,Mbits/sec,0.513,ms,0/1036,0%
2.00-3.00,sec,1.43,MBytes,12,Mbits/sec,0.929,ms,0/1034,0%
3.00-4.00,sec,1.43,MBytes,12,Mbits/sec,0.24,ms,0/1038,0%
4.00-5.00,sec,1.43,MBytes,12,Mbits/sec,0.344,ms,0/1036,0%
5.00-6.00,sec,1.42,MBytes,11.9,Mbits/sec,0.81,ms,0/1031,0%
6.00-7.00,sec,1.43,MBytes,12,Mbits/sec,0.856,ms,0/1032,0%
7.00-8.00,sec,1.44,MBytes,12.1,Mbits/sec,0.358,ms,0/1045,0%
8.00-9.00,sec,1.42,MBytes,11.9,Mbits/sec,0.909,ms,0/1029,0%
9.00-10.00,sec,1.44,MBytes,12.1,Mbits/sec,0.316,ms,0/1044,0%
10.00-11.00,sec,1.43,MBytes,12,Mbits/sec,0.292,ms,0/1034,0%
11.00-12.00,sec,1.43,MBytes,12,Mbits/sec,0.792,ms,0/1036,0%
12.00-13.00,sec,1.43,MBytes,12,Mbits/sec,0.516,ms,0/1036,0%
13.00-14.00,sec,1.43,MBytes,12,Mbits/sec,0.455,ms,0/1034,0%
14.00-15.00,sec,1.43,MBytes,12,Mbits/sec,0.645,ms,0/1038,0%
15.00-16.00,sec,1.43,MBytes,12,Mbits/sec,0.994,ms,0/1034,0%
16.00-17.00,sec,1.43,MBytes,12,Mbits/sec,0.208,ms,0/1038,0%
17.00-18.00,sec,1.43,MBytes,12,Mbits/sec,0.393,ms,0/1036,0%
18.00-19.00,sec,1.43,MBytes,12,Mbits/sec,0.228,ms,0/1036,0%
19.00-20.00,sec,1.43,MBytes,12,Mbits/sec,0.185,ms,0/1036,0%
20.00-21.00,sec,1.43,MBytes,12,Mbits/sec,0.546,ms,0/1037,0%
21.00-22.00,sec,1.41,MBytes,11.8,Mbits/sec,1.051,ms,0/1022,0%
22.00-23.00,sec,1.45,MBytes,12.1,Mbits/sec,0.528,ms,0/1048,0%
23.00-24.00,sec,1.43,MBytes,12,Mbits/sec,0.314,ms,0/1036,0%
24.00-25.00,sec,1.43,MBytes,12,Mbits/sec,0.278,ms,0/1036,0%
25.00-26.00,sec,1.43,MBytes,12,Mbits/sec,0.895,ms,0/1032,0%
26.00-27.00,sec,1.44,MBytes,12,Mbits/sec,0.37,ms,0/1040,0%
27.00-28.00,sec,1.43,MBytes,12,Mbits/sec,0.766,ms,0/1036,0%
28.00-29.00,sec,1.43,MBytes,12,Mbits/sec,0.361,ms,0/1036,0%
29.00-30.00,sec,1.43,MBytes,12,Mbits/sec,0.29,ms,0/1036,0%
30.00-31.00,sec,1.43,MBytes,12,Mbits/sec,0.805,ms,0/1033,0%
31.00-32.00,sec,1.43,MBytes,12,Mbits/sec,0.421,ms,0/1039,0%
32.00-33.00,sec,1.43,MBytes,12,Mbits/sec,0.345,ms,0/1036,0%
33.00-34.00,sec,1.43,MBytes,12,Mbits/sec,0.616,ms,0/1035,0%
34.00-35.00,sec,1.42,MBytes,11.9,Mbits/sec,0.935,ms,0/1026,0%
35.00-36.00,sec,1.44,MBytes,12.1,Mbits/sec,0.667,ms,0/1041,0%
36.00-37.00,sec,1.44,MBytes,12.1,Mbits/sec,0.345,ms,0/1041,0%
37.00-38.00,sec,1.43,MBytes,12,Mbits/sec,0.275,ms,0/1036,0%
38.00-39.00,sec,1.43,MBytes,12,Mbits/sec,0.325,ms,0/1036,0%
39.00-40.00,sec,1.43,MBytes,12,Mbits/sec,0.348,ms,0/1036,0%
40.00-41.00,sec,1.43,MBytes,12,Mbits/sec,0.722,ms,0/1036,0%
41.00-42.00,sec,1.42,MBytes,11.9,Mbits/sec,0.923,ms,0/1026,0%
42.00-43.00,sec,1.44,MBytes,12.1,Mbits/sec,0.397,ms,0/1046,0%
43.00-44.00,sec,1.43,MBytes,12,Mbits/sec,0.79,ms,0/1036,0%
44.00-45.00,sec,1.4,MBytes,11.8,Mbits/sec,0.191,ms,0/1017,0%
45.00-46.00,sec,1.46,MBytes,12.2,Mbits/sec,0.351,ms,0/1054,0%
46.00-47.00,sec,1.43,MBytes,12,Mbits/sec,0.743,ms,0/1036,0%
47.00-48.00,sec,1.43,MBytes,12,Mbits/sec,0.352,ms,0/1036,0%
48.00-49.00,sec,1.43,MBytes,12,Mbits/sec,0.63,ms,0/1036,0%
49.00-50.00,sec,1.43,MBytes,12,Mbits/sec,0.599,ms,0/1036,0%
50.00-51.00,sec,1.42,MBytes,11.9,Mbits/sec,0.913,ms,0/1025,0%
51.00-52.00,sec,1.45,MBytes,12.1,Mbits/sec,0.317,ms,0/1047,0%
52.00-53.00,sec,1.43,MBytes,12,Mbits/sec,0.399,ms,0/1037,0%
53.00-54.00,sec,1.43,MBytes,12,Mbits/sec,0.336,ms,0/1036,0%
54.00-55.00,sec,1.42,MBytes,11.9,Mbits/sec,0.709,ms,0/1027,0%
55.00-56.00,sec,1.44,MBytes,12.1,Mbits/sec,0.49,ms,0/1043,0%
56.00-57.00,sec,1.42,MBytes,11.9,Mbits/sec,0.988,ms,0/1027,0%
57.00-58.00,sec,1.44,MBytes,12.1,Mbits/sec,0.147,ms,0/1045,0%
58.00-59.00,sec,1.43,MBytes,12,Mbits/sec,0.419,ms,0/1036,0%
59.00-60.00,sec,1.42,MBytes,11.9,Mbits/sec,1.013,ms,0/1031,0%
60.00-61.00,sec,1.44,MBytes,12.1,Mbits/sec,0.763,ms,0/1041,0%
61.00-62.00,sec,1.43,MBytes,12,Mbits/sec,0.353,ms,0/1037,0%
62.00-63.00,sec,1.43,MBytes,12,Mbits/sec,0.911,ms,0/1035,0%
63.00-64.00,sec,1.42,MBytes,11.9,Mbits/sec,0.966,ms,0/1030,0%
64.00-65.00,sec,1.44,MBytes,12.1,Mbits/sec,0.344,ms,0/1042,0%
65.00-66.00,sec,1.43,MBytes,12,Mbits/sec,0.548,ms,0/1037,0%
66.00-67.00,sec,1.43,MBytes,12,Mbits/sec,0.306,ms,0/1035,0%
67.00-68.00,sec,1.43,MBytes,12,Mbits/sec,0.294,ms,0/1035,0%
68.00-69.00,sec,1.43,MBytes,12,Mbits/sec,0.506,ms,0/1037,0%
69.00-70.00,sec,1.43,MBytes,12,Mbits/sec,0.252,ms,0/1036,0%
70.00-71.00,sec,1.43,MBytes,12,Mbits/sec,0.218,ms,0/1035,0%
71.00-72.00,sec,1.43,MBytes,12,Mbits/sec,0.434,ms,0/1036,0%
72.00-73.00,sec,1.42,MBytes,11.9,Mbits/sec,0.986,ms,0/1025,0%
73.00-74.00,sec,1.44,MBytes,12.1,Mbits/sec,0.672,ms,0/1044,0%
74.00-75.00,sec,1.43,MBytes,12,Mbits/sec,0.301,ms,0/1039,0%
75.00-75.00,sec,4.24,KBytes,11.3,Mbits/sec,0.261,ms,0/3 (0,%)
- - - - - - -,- -,- - -,- - - -,- -,- - - -,,,,
Interval,,Transfer,,Bitrate,,Jitter,,Lost/Total Datagrams,
0.00-75.00,sec,107,MBytes,12,Mbits/sec,0.261,ms,0/7769,3 (0%)  receiver
