Interval,,Transfer,,Bitrate,,Jitter,,Lost/Total Datagrams,
0.00-1.00,sec,486,KBytes,3.98,Mbits/sec,0.726,ms,0/344,0%
1.00-2.00,sec,489,KBytes,4.01,Mbits/sec,0.771,ms,0/346,0%
2.00-3.00,sec,488,KBytes,4,Mbits/sec,1.056,ms,0/345,0%
3.00-4.00,sec,488,KBytes,4,Mbits/sec,1.135,ms,0/345,0%
4.00-5.00,sec,488,KBytes,4,Mbits/sec,0.765,ms,0/345,0%
5.00-6.00,sec,489,KBytes,4.01,Mbits/sec,1.243,ms,0/346,0%
6.00-7.00,sec,489,KBytes,4.01,Mbits/sec,0.598,ms,0/346,0%
7.00-8.00,sec,484,KBytes,3.96,Mbits/sec,1.1,ms,0/342,0%
8.00-9.00,sec,492,KBytes,4.03,Mbits/sec,0.818,ms,0/348,0%
9.00-10.00,sec,488,KBytes,4,Mbits/sec,1.195,ms,0/345,0%
10.00-11.00,sec,488,KBytes,4,Mbits/sec,0.925,ms,0/345,0%
11.00-12.00,sec,489,KBytes,4.01,Mbits/sec,0.64,ms,0/346,0%
12.00-13.00,sec,488,KBytes,4,Mbits/sec,1.002,ms,0/345,0%
13.00-14.00,sec,488,KBytes,4,Mbits/sec,0.777,ms,0/345,0%
14.00-15.00,sec,489,KBytes,4.01,Mbits/sec,0.696,ms,0/346,0%
15.00-16.00,sec,488,KBytes,4,Mbits/sec,1.329,ms,0/345,0%
16.00-17.00,sec,488,KBytes,4,Mbits/sec,0.706,ms,0/345,0%
17.00-18.00,sec,488,KBytes,4,Mbits/sec,0.738,ms,0/345,0%
18.00-19.00,sec,489,KBytes,4.01,Mbits/sec,1.058,ms,0/346,0%
19.00-20.00,sec,488,KBytes,4,Mbits/sec,1.323,ms,0/345,0%
20.00-21.00,sec,489,KBytes,4.01,Mbits/sec,0.784,ms,0/346,0%
21.00-22.00,sec,488,KBytes,4,Mbits/sec,0.459,ms,0/345,0%
22.00-23.00,sec,488,KBytes,4,Mbits/sec,1.067,ms,0/345,0%
23.00-24.00,sec,489,KBytes,4.01,Mbits/sec,0.76,ms,0/346,0%
24.00-25.00,sec,488,KBytes,4,Mbits/sec,1.12,ms,0/345,0%
25.00-26.00,sec,488,KBytes,4,Mbits/sec,1.046,ms,0/345,0%
26.00-27.00,sec,488,KBytes,4,Mbits/sec,0.773,ms,0/345,0%
27.00-28.00,sec,489,KBytes,4.01,Mbits/sec,0.827,ms,0/346,0%
28.00-29.00,sec,488,KBytes,4,Mbits/sec,1.104,ms,0/345,0%
29.00-30.00,sec,488,KBytes,4,Mbits/sec,1.498,ms,0/345,0%
30.00-31.00,sec,489,KBytes,4.01,Mbits/sec,0.632,ms,0/346,0%
31.00-32.00,sec,486,KBytes,3.98,Mbits/sec,1.179,ms,0/344,0%
32.00-33.00,sec,489,KBytes,4.01,Mbits/sec,1.089,ms,0/346,0%
33.00-34.00,sec,489,KBytes,4.01,Mbits/sec,0.771,ms,0/346,0%
34.00-35.00,sec,488,KBytes,4,Mbits/sec,0.922,ms,0/345,0%
35.00-36.00,sec,486,KBytes,3.98,Mbits/sec,0.516,ms,0/344,0%
36.00-37.00,sec,489,KBytes,4.01,Mbits/sec,0.347,ms,0/346,0%
37.00-38.00,sec,489,KBytes,4.01,Mbits/sec,0.86,ms,0/346,0%
38.00-39.00,sec,486,KBytes,3.99,Mbits/sec,0.611,ms,0/344,0%
39.00-40.00,sec,489,KBytes,4.01,Mbits/sec,0.909,ms,0/346,0%
40.00-41.00,sec,489,KBytes,4.01,Mbits/sec,0.822,ms,0/346,0%
41.00-42.00,sec,488,KBytes,4,Mbits/sec,1.311,ms,0/345,0%
42.00-43.00,sec,486,KBytes,3.98,Mbits/sec,0.698,ms,0/344,0%
