Interval,,Transfer,,Bitrate,,Jitter,,Lost/Total Datagrams,
0.00-1.00,sec,1.65,MBytes,13.8,Mbits/sec,0.407,ms,0/1194,0%
1.00-2.00,sec,1.68,MBytes,14.1,Mbits/sec,0.328,ms,0/1214,0%
2.00-3.00,sec,1.66,MBytes,13.9,Mbits/sec,0.185,ms,0/1200,0%
3.00-4.00,sec,1.68,MBytes,14.1,Mbits/sec,0.567,ms,0/1216,0%
4.00-5.00,sec,1.67,MBytes,14,Mbits/sec,0.217,ms,0/1210,0%
5.00-6.00,sec,1.67,MBytes,14,Mbits/sec,0.341,ms,0/1207,0%
6.00-7.00,sec,1.66,MBytes,13.9,Mbits/sec,0.736,ms,0/1204,0%
7.00-8.00,sec,1.67,MBytes,14,Mbits/sec,0.579,ms,0/1212,0%
8.00-9.00,sec,1.67,MBytes,14,Mbits/sec,0.7,ms,0/1210,0%
9.00-10.00,sec,1.66,MBytes,13.9,Mbits/sec,0.461,ms,0/1203,0%
10.00-11.00,sec,1.68,MBytes,14.1,Mbits/sec,0.395,ms,0/1214,0%
11.00-12.00,sec,1.66,MBytes,13.9,Mbits/sec,0.703,ms,0/1202,0%
12.00-13.00,sec,1.66,MBytes,14,Mbits/sec,0.949,ms,0/1205,0%
13.00-14.00,sec,1.68,MBytes,14.1,Mbits/sec,0.385,ms,0/1218,0%
14.00-15.00,sec,1.67,MBytes,14,Mbits/sec,0.74,ms,0/1208,0%
15.00-16.00,sec,1.65,MBytes,13.8,Mbits/sec,1.048,ms,0/1195,0%
16.00-17.00,sec,1.69,MBytes,14.2,Mbits/sec,0.603,ms,0/1223,0%
17.00-18.00,sec,1.67,MBytes,14,Mbits/sec,0.399,ms,0/1209,0%
18.00-19.00,sec,1.67,MBytes,14,Mbits/sec,0.623,ms,0/1206,0%
19.00-20.00,sec,1.67,MBytes,14,Mbits/sec,0.539,ms,0/1211,0%
20.00-21.00,sec,1.67,MBytes,14,Mbits/sec,0.491,ms,0/1210,0%
21.00-22.00,sec,1.66,MBytes,13.9,Mbits/sec,0.847,ms,0/1199,0%
22.00-23.00,sec,1.66,MBytes,13.9,Mbits/sec,0.855,ms,0/1200,0%
23.00-24.00,sec,1.69,MBytes,14.2,Mbits/sec,0.24,ms,0/1225,0%
24.00-25.00,sec,1.66,MBytes,13.9,Mbits/sec,0.95,ms,0/1199,0%
25.00-26.00,sec,1.66,MBytes,14,Mbits/sec,1.192,ms,0/1205,0%
26.00-27.00,sec,1.69,MBytes,14.2,Mbits/sec,0.516,ms,0/1222,0%
27.00-28.00,sec,1.67,MBytes,14,Mbits/sec,0.611,ms,0/1206,0%
28.00-29.00,sec,1.67,MBytes,14,Mbits/sec,0.856,ms,0/1206,0%
29.00-30.00,sec,1.67,MBytes,14,Mbits/sec,0.456,ms,0/1208,0%
30.00-31.00,sec,1.68,MBytes,14.1,Mbits/sec,0.259,ms,0/1214,0%
31.00-32.00,sec,1.67,MBytes,14,Mbits/sec,0.433,ms,0/1209,0%
32.00-33.00,sec,1.67,MBytes,14,Mbits/sec,0.191,ms,0/1206,0%
33.00-34.00,sec,1.67,MBytes,14,Mbits/sec,0.468,ms,0/1211,0%
