edge_name,unix_timestamp,percentage_cpu_utilisation
edge4, 1631490269.4424615, 0.7
edge4, 1631490272.4564223, 1.0
edge4, 1631490275.4708712, 0.0
edge4, 1631490278.4834554, 1.3
edge4, 1631490281.5190916, 0.3
edge4, 1631490284.5360336, 1.3
edge4, 1631490287.5551414, 0.0
edge4, 1631490290.5695822, 1.0
edge4, 1631490293.5876336, 0.3
edge4, 1631490296.601722, 1.0
edge4, 1631490299.62874, 0.3
edge4, 1631490302.6437774, 0.8
edge4, 1631490305.6564014, 0.3
edge4, 1631490308.669459, 0.5
edge4, 1631490311.685995, 0.5
edge4, 1631490314.7049313, 0.5
edge4, 1631490317.7177022, 0.5
edge4, 1631490320.7496865, 0.5
edge4, 1631490323.7629447, 0.3
edge4, 1631490326.7841454, 2.0
edge4, 1631490329.8012264, 0.0
edge4, 1631490332.8137963, 0.5
edge4, 1631490335.8261962, 0.5
edge4, 1631490338.84009, 1.0
edge4, 1631490341.853988, 0.3
edge4, 1631490344.8744893, 1.0
edge4, 1631490347.8892167, 0.8
edge4, 1631490350.9040194, 0.8
edge4, 1631490353.9269896, 0.7
